id,trx_dt,cust_id,prd_id,qty,total_price
155,2022-11-02,48,21,3,9000
156,2022-11-04,5,25,3,13800
157,2022-11-05,69,25,5,23000
158,2022-11-05,64,22,4,12000
159,2022-11-02,90,26,5,29000
160,2022-11-01,32,20,4,78000
161,2022-11-01,5,6,7,21700
162,2022-11-01,61,1,1,3100
163,2022-11-03,51,10,2,23000
164,2022-11-02,95,15,10,86000
165,2022-11-02,74,26,10,58000
166,2022-11-05,26,18,3,26100
167,2022-11-01,17,17,3,7200
168,2022-11-03,67,13,9,102600
169,2022-11-02,59,4,10,31000
170,2022-11-04,84,16,8,72800
171,2022-11-02,39,5,5,15500
172,2022-11-05,23,4,8,24800
173,2022-11-01,11,33,3,88500
174,2022-11-02,41,23,2,21000
175,2022-11-04,23,25,4,18400
176,2022-11-05,100,11,1,11600
177,2022-11-05,39,26,2,11600
178,2022-11-04,58,6,3,9300
179,2022-11-02,46,16,6,54600
180,2022-11-02,85,19,10,303000
181,2022-11-02,26,20,9,175500
182,2022-11-04,14,31,5,44500
183,2022-11-03,19,29,7,19600
184,2022-11-02,37,8,4,12400
185,2022-11-01,48,28,5,29000
186,2022-11-01,25,11,1,11600
187,2022-11-03,33,15,9,77400
188,2022-11-02,28,13,9,102600
189,2022-11-04,11,29,1,2800
190,2022-11-04,90,2,8,24800
191,2022-11-04,24,12,6,68400
192,2022-11-01,33,23,4,42000
193,2022-11-02,94,14,5,57000
194,2022-11-04,58,8,10,31000
195,2022-11-03,99,3,1,3100
196,2022-11-02,11,3,5,15500
197,2022-11-03,11,5,9,27900
198,2022-11-03,98,25,9,41400
199,2022-11-03,73,16,4,36400
200,2022-11-03,43,12,3,34200
201,2022-11-03,72,7,10,31000
202,2022-11-02,9,33,6,177000
203,2022-11-01,95,34,6,219600
204,2022-11-04,99,31,1,8900
205,2022-11-04,56,22,1,3000
206,2022-11-01,38,25,6,27600
207,2022-11-04,35,11,4,46400
208,2022-11-04,41,12,5,57000
209,2022-11-04,48,31,3,26700
210,2022-11-02,96,27,9,52200
211,2022-11-04,16,12,8,91200
212,2022-11-01,66,7,8,24800
213,2022-11-02,7,20,8,156000
214,2022-11-02,54,21,1,3000
215,2022-11-05,68,13,8,91200
216,2022-11-05,98,23,4,42000
217,2022-11-01,37,34,7,256200
218,2022-11-03,27,22,4,12000
219,2022-11-01,92,28,5,29000
220,2022-11-04,5,14,2,22800
221,2022-11-03,46,23,10,105000
222,2022-11-04,6,29,10,28000
223,2022-11-01,24,2,9,27900
224,2022-11-01,39,4,4,12400
225,2022-11-04,25,15,7,60200
226,2022-11-02,68,27,4,23200
227,2022-11-02,62,14,9,102600
228,2022-11-02,81,26,6,34800
229,2022-11-01,88,14,8,91200
230,2022-11-03,45,24,4,18400
231,2022-11-03,5,16,9,81900
232,2022-11-04,12,12,7,79800
233,2022-11-04,90,14,2,22800
234,2022-11-02,19,29,5,14000
235,2022-11-04,38,24,5,23000
236,2022-11-01,29,31,10,89000
237,2022-11-03,55,29,9,25200
238,2022-11-01,98,23,9,94500
239,2022-11-01,86,2,7,21700
240,2022-11-05,6,5,9,27900
241,2022-11-05,43,19,6,181800
242,2022-11-03,55,25,4,18400
243,2022-11-01,18,11,5,58000
244,2022-11-02,76,7,3,9300
245,2022-11-05,86,20,1,19500
246,2022-11-03,90,4,9,27900
247,2022-11-04,5,33,1,29500
248,2022-11-05,54,20,8,156000
249,2022-11-02,28,31,4,35600
250,2022-11-03,4,27,7,40600
251,2022-11-01,6,35,10,185000
252,2022-11-02,54,23,7,73500
253,2022-11-04,50,10,6,69000
254,2022-11-05,74,5,6,18600
255,2022-11-01,53,18,4,34800
256,2022-11-01,64,7,9,27900
257,2022-11-04,82,6,6,18600
258,2022-11-05,73,22,6,18000
259,2022-11-03,80,3,9,27900
260,2022-11-02,76,14,10,114000
261,2022-11-01,11,15,4,34400
262,2022-11-02,92,5,5,15500
263,2022-11-02,54,8,8,24800
264,2022-11-02,3,14,2,22800
265,2022-11-03,81,23,3,31500
266,2022-11-01,94,6,10,31000
267,2022-11-02,41,24,1,4600
268,2022-11-02,83,10,9,103500
269,2022-11-05,3,10,7,80500
270,2022-11-04,99,5,5,15500
271,2022-11-05,65,14,9,102600
272,2022-11-03,7,29,9,25200
273,2022-11-01,29,12,3,34200
274,2022-11-01,65,15,4,34400
275,2022-11-01,12,32,10,222000
276,2022-11-03,57,27,9,52200
277,2022-11-02,15,7,7,21700
278,2022-11-03,25,24,2,9200
279,2022-11-02,74,35,4,74000
280,2022-11-04,35,24,5,23000
281,2022-11-05,95,15,1,8600
282,2022-11-02,57,2,4,12400
283,2022-11-02,90,30,6,117600
284,2022-11-02,60,28,6,34800
285,2022-11-02,48,24,3,13800
286,2022-11-05,58,34,5,183000
287,2022-11-05,41,34,6,219600
288,2022-11-02,4,19,3,90900
289,2022-11-01,100,18,1,8700
290,2022-11-05,73,7,2,6200
291,2022-11-01,65,19,7,212100
292,2022-11-04,51,3,9,27900
293,2022-11-03,58,13,5,57000
294,2022-11-04,1,14,4,45600
295,2022-11-02,9,10,5,57500
296,2022-11-03,37,34,7,256200
297,2022-11-03,5,20,8,156000
298,2022-11-04,25,16,5,45500
299,2022-11-01,60,5,9,27900
300,2022-11-04,17,35,9,166500
301,2022-11-04,47,21,8,24000
302,2022-11-01,24,17,7,16800
303,2022-11-02,33,3,6,18600
304,2022-11-01,100,29,4,11200
305,2022-11-04,77,6,5,15500
306,2022-11-01,54,4,7,21700
307,2022-11-05,91,10,3,34500
308,2022-11-02,51,18,1,8700
309,2022-11-05,19,9,5,55500
310,2022-11-05,62,34,7,256200
311,2022-11-03,7,9,2,22200
312,2022-11-04,71,15,8,68800
313,2022-11-02,74,3,7,21700
314,2022-11-04,86,13,10,114000
315,2022-11-05,70,24,4,18400
316,2022-11-04,33,30,10,196000
317,2022-11-05,13,8,10,31000
318,2022-11-01,28,35,8,148000
319,2022-11-02,9,2,10,31000
320,2022-11-02,75,11,10,116000
321,2022-11-04,78,22,6,18000
322,2022-11-02,66,34,9,329400
323,2022-11-04,12,16,3,27300
324,2022-11-03,20,2,7,21700
325,2022-11-01,30,22,4,12000
326,2022-11-04,78,34,9,329400
327,2022-11-04,13,27,8,46400
328,2022-11-04,6,17,3,7200
329,2022-11-02,20,25,4,18400
330,2022-11-02,16,8,7,21700
331,2022-11-05,24,29,8,22400
332,2022-11-03,16,22,6,18000
333,2022-11-03,70,32,5,111000
334,2022-11-05,32,8,4,12400
335,2022-11-05,50,13,5,57000
336,2022-11-01,48,20,10,195000
337,2022-11-02,4,29,1,2800
338,2022-11-01,95,24,7,32200
339,2022-11-04,64,15,8,68800
340,2022-11-01,20,33,8,236000
341,2022-11-03,16,3,2,6200
342,2022-11-04,3,19,10,303000
343,2022-11-01,94,35,10,185000
344,2022-11-03,54,34,4,146400
345,2022-11-05,10,12,9,102600
346,2022-11-03,49,21,5,15000
347,2022-11-05,15,6,4,12400
348,2022-11-04,49,25,7,32200
349,2022-11-05,58,22,7,21000
350,2022-11-02,2,27,10,58000
351,2022-11-01,81,33,1,29500
352,2022-11-02,13,6,6,18600
353,2022-11-05,39,27,5,29000
354,2022-11-05,90,23,5,52500
355,2022-11-02,71,26,3,17400
356,2022-11-04,59,31,3,26700
357,2022-11-05,76,35,4,74000
358,2022-11-04,77,2,8,24800
359,2022-11-05,37,30,1,19600
360,2022-11-01,5,9,2,22200
361,2022-11-04,30,23,5,52500
362,2022-11-05,16,13,2,22800
363,2022-11-03,58,20,6,117000
364,2022-11-01,70,7,6,18600
365,2022-11-05,36,5,4,12400
366,2022-11-01,91,21,3,9000
367,2022-11-03,82,18,6,52200
368,2022-11-04,73,26,6,34800
369,2022-11-01,71,28,4,23200
370,2022-11-01,65,2,9,27900
371,2022-11-04,49,17,1,2400
372,2022-11-03,21,26,7,40600
373,2022-11-04,23,29,9,25200
374,2022-11-05,47,21,3,9000
375,2022-11-02,95,30,5,98000
376,2022-11-03,31,5,3,9300
377,2022-11-02,16,10,7,80500
378,2022-11-03,67,32,4,88800
379,2022-11-05,21,21,6,18000
380,2022-11-04,39,10,6,69000
381,2022-11-04,75,25,6,27600
382,2022-11-02,55,19,10,303000
383,2022-11-03,86,5,4,12400
384,2022-11-03,66,35,1,18500
385,2022-11-04,6,29,1,2800
386,2022-11-04,62,33,10,295000
387,2022-11-01,70,25,3,13800
388,2022-11-05,35,8,6,18600
389,2022-11-04,43,3,1,3100
390,2022-11-05,33,20,5,97500
391,2022-11-05,80,35,7,129500
392,2022-11-01,73,19,7,212100
393,2022-11-03,89,11,3,34800
394,2022-11-05,45,15,10,86000
395,2022-11-04,92,25,4,18400
396,2022-11-01,31,18,9,78300
397,2022-11-05,92,19,9,272700
398,2022-11-01,58,20,9,175500
399,2022-11-03,21,13,6,68400
400,2022-11-03,2,35,2,37000
401,2022-11-03,25,7,8,24800
402,2022-11-04,15,15,4,34400
403,2022-11-02,100,4,4,12400
404,2022-11-01,28,14,6,68400
405,2022-11-05,6,30,2,39200
406,2022-11-05,88,33,6,177000
407,2022-11-02,88,25,3,13800
408,2022-11-03,47,6,2,6200
409,2022-11-01,84,3,9,27900
410,2022-11-03,12,5,10,31000
411,2022-11-05,3,14,6,68400
412,2022-11-01,14,2,2,6200
413,2022-11-01,63,4,10,31000
414,2022-11-05,27,25,5,23000
415,2022-11-05,35,29,6,16800
416,2022-11-04,27,6,2,6200
417,2022-11-05,94,27,8,46400
418,2022-11-05,74,17,8,19200
419,2022-11-04,16,5,10,31000
420,2022-11-03,60,2,4,12400
421,2022-11-03,35,14,3,34200
422,2022-11-01,34,10,4,46000
423,2022-11-01,16,22,3,9000
424,2022-11-01,60,31,10,89000
425,2022-11-01,2,11,6,69600
426,2022-11-03,43,14,1,11400
427,2022-11-05,59,26,3,17400
428,2022-11-02,52,33,1,29500
429,2022-11-02,90,14,2,22800
430,2022-11-02,31,3,8,24800
431,2022-11-01,14,14,4,45600
432,2022-11-03,61,22,5,15000
433,2022-11-02,88,25,10,46000
434,2022-11-03,4,2,8,24800
435,2022-11-02,21,17,3,7200
436,2022-11-04,73,19,5,151500
437,2022-11-05,83,2,6,18600
438,2022-11-03,2,25,6,27600
439,2022-11-01,71,34,4,146400
440,2022-11-02,38,34,9,329400
441,2022-11-01,25,13,9,102600
442,2022-11-05,86,29,5,14000
443,2022-11-02,47,30,5,98000
444,2022-11-03,65,1,4,12400
445,2022-11-01,23,8,2,6200
446,2022-11-02,49,24,6,27600
447,2022-11-04,42,16,8,72800
448,2022-11-04,60,32,10,222000
449,2022-11-02,67,5,10,31000
450,2022-11-05,63,24,5,23000
451,2022-11-01,62,3,5,15500
452,2022-11-05,73,15,7,60200
453,2022-11-04,71,25,6,27600
454,2022-11-03,32,5,3,9300
455,2022-11-05,91,14,4,45600
456,2022-11-03,63,10,2,23000
457,2022-11-05,18,31,7,62300
458,2022-11-02,91,31,5,44500
459,2022-11-02,3,21,4,12000
460,2022-11-03,61,10,8,92000
461,2022-11-01,14,33,8,236000
462,2022-11-04,36,1,1,3100
463,2022-11-01,56,16,9,81900
464,2022-11-05,5,11,10,116000
465,2022-11-04,80,5,5,15500
466,2022-11-05,22,20,6,117000
467,2022-11-02,5,19,6,181800
468,2022-11-01,95,29,3,8400
469,2022-11-04,11,18,7,60900
470,2022-11-03,38,10,9,103500
471,2022-11-04,28,33,9,265500
472,2022-11-02,26,1,9,27900
473,2022-11-03,62,35,5,92500
474,2022-11-03,64,34,10,366000
475,2022-11-01,74,9,10,111000
476,2022-11-03,44,2,8,24800
477,2022-11-05,67,25,6,27600
478,2022-11-02,22,12,2,22800
479,2022-11-05,69,1,2,6200
480,2022-11-02,31,5,5,15500
481,2022-11-05,20,7,8,24800
482,2022-11-05,99,21,3,9000
483,2022-11-04,19,5,4,12400
484,2022-11-04,5,18,4,34800
485,2022-11-01,14,12,3,34200
486,2022-11-03,62,19,6,181800
487,2022-11-02,8,35,1,18500
488,2022-11-04,69,4,9,27900
489,2022-11-01,45,20,10,195000
490,2022-11-02,66,18,9,78300
491,2022-11-03,7,18,1,8700
492,2022-11-04,40,10,10,115000
493,2022-11-01,15,20,1,19500
494,2022-11-01,9,33,1,29500
495,2022-11-03,10,11,9,104400
496,2022-11-03,5,28,10,58000
497,2022-11-03,56,34,5,183000
498,2022-11-02,20,11,2,23200
499,2022-11-02,20,24,7,32200
500,2022-11-05,1,33,2,59000
501,2022-11-01,5,34,2,73200
502,2022-11-02,22,34,10,366000
503,2022-11-04,60,33,1,29500
504,2022-11-02,75,7,6,18600
505,2022-11-01,60,35,5,92500
506,2022-11-05,69,1,10,31000
507,2022-11-02,87,25,10,46000
508,2022-11-01,48,24,9,41400
509,2022-11-03,56,7,7,21700
510,2022-11-03,54,27,9,52200
511,2022-11-03,25,11,10,116000
512,2022-11-01,90,7,3,9300
513,2022-11-02,25,27,2,11600
514,2022-11-01,4,3,3,9300
515,2022-11-01,99,26,9,52200
516,2022-11-05,10,27,9,52200
517,2022-11-04,46,14,10,114000
518,2022-11-03,87,14,10,114000
519,2022-11-03,89,35,2,37000
520,2022-11-05,94,7,5,15500
521,2022-11-01,53,14,9,102600
522,2022-11-01,49,12,1,11400
523,2022-11-02,37,18,10,87000
524,2022-11-01,31,29,2,5600
525,2022-11-05,15,21,7,21000
526,2022-11-05,91,32,5,111000
527,2022-11-03,30,3,1,3100
528,2022-11-01,77,13,3,34200
529,2022-11-04,62,34,3,109800
530,2022-11-05,85,1,2,6200
531,2022-11-03,48,29,10,28000
532,2022-11-01,75,23,9,94500
533,2022-11-03,23,23,9,94500
534,2022-11-04,75,33,9,265500
535,2022-11-01,84,5,2,6200
536,2022-11-05,96,10,2,23000
537,2022-11-01,47,9,10,111000
538,2022-11-05,85,5,8,24800
539,2022-11-05,90,17,7,16800
540,2022-11-03,10,21,4,12000
541,2022-11-04,50,34,8,292800
542,2022-11-04,64,22,9,27000
543,2022-11-04,34,2,7,21700
544,2022-11-02,61,29,3,8400
545,2022-11-05,94,31,5,44500
546,2022-11-04,45,18,9,78300
547,2022-11-05,87,28,10,58000
548,2022-11-04,8,24,5,23000
549,2022-11-01,86,29,1,2800
550,2022-11-03,85,21,10,30000
551,2022-11-05,66,31,1,8900
552,2022-11-05,83,27,7,40600
553,2022-11-03,68,12,5,57000
554,2022-11-01,8,33,6,177000
555,2022-11-04,16,4,9,27900
556,2022-11-02,59,13,9,102600
557,2022-11-02,62,21,4,12000
558,2022-11-05,92,16,6,54600
559,2022-11-01,97,8,9,27900
560,2022-11-03,55,11,7,81200
561,2022-11-05,32,7,4,12400
562,2022-11-05,17,16,5,45500
563,2022-11-01,70,3,7,21700
564,2022-11-01,75,20,2,39000
565,2022-11-01,89,7,10,31000
566,2022-11-05,18,1,6,18600
567,2022-11-01,1,1,1,3100
568,2022-11-02,23,23,3,31500
569,2022-11-02,90,8,8,24800
570,2022-11-03,53,8,5,15500
571,2022-11-03,70,23,3,31500
572,2022-11-02,44,18,9,78300
573,2022-11-05,51,5,8,24800
574,2022-11-01,100,13,10,114000
575,2022-11-01,19,21,1,3000
576,2022-11-04,91,3,7,21700
577,2022-11-01,32,9,7,77700
578,2022-11-03,88,14,9,102600
579,2022-11-03,76,17,4,9600
580,2022-11-05,36,18,5,43500
581,2022-11-02,79,11,8,92800
582,2022-11-02,18,33,1,29500
583,2022-11-01,47,19,8,242400
584,2022-11-04,75,10,1,11500
585,2022-11-03,52,9,9,99900
586,2022-11-01,44,27,5,29000
587,2022-11-05,74,31,8,71200
588,2022-11-05,51,33,6,177000
589,2022-11-03,73,1,4,12400
590,2022-11-03,74,6,4,12400
591,2022-11-01,5,30,6,117600
592,2022-11-05,22,12,2,22800
593,2022-11-02,100,12,9,102600
594,2022-11-05,53,16,9,81900
595,2022-11-04,68,20,1,19500
596,2022-11-03,71,33,4,118000
597,2022-11-05,29,19,5,151500
598,2022-11-05,56,35,8,148000
599,2022-11-04,56,14,8,91200
600,2022-11-04,27,8,7,21700
601,2022-11-04,13,4,4,12400
602,2022-11-03,72,35,6,111000
603,2022-11-02,90,33,3,88500
604,2022-11-05,100,28,9,52200
605,2022-11-02,77,26,2,11600
606,2022-11-04,56,18,5,43500
607,2022-11-04,83,17,1,2400
608,2022-11-04,36,32,3,66600
609,2022-11-04,47,14,8,91200
610,2022-11-03,42,13,10,114000
611,2022-11-01,32,33,4,118000
612,2022-11-05,53,25,8,36800
613,2022-11-02,83,34,9,329400
614,2022-11-04,98,9,7,77700
615,2022-11-04,71,13,10,114000
616,2022-11-04,93,6,1,3100
617,2022-11-05,85,11,2,23200
618,2022-11-01,56,26,8,46400
619,2022-11-03,13,5,1,3100
620,2022-11-02,99,27,3,17400
621,2022-11-02,12,18,8,69600
622,2022-11-02,72,28,4,23200
623,2022-11-02,35,31,8,71200
624,2022-11-01,20,34,4,146400
625,2022-11-01,94,3,9,27900
626,2022-11-05,38,19,10,303000
627,2022-11-02,38,25,2,9200
628,2022-11-05,86,25,9,41400
629,2022-11-04,62,25,1,4600
630,2022-11-02,6,29,6,16800
631,2022-11-04,87,17,8,19200
632,2022-11-01,33,35,10,185000
633,2022-11-02,44,31,1,8900
634,2022-11-03,91,6,1,3100
635,2022-11-04,77,16,4,36400
636,2022-11-02,90,34,7,256200
637,2022-11-02,47,9,9,99900
638,2022-11-05,1,11,6,69600
639,2022-11-03,8,27,8,46400
640,2022-11-02,19,16,5,45500
641,2022-11-03,8,9,5,55500
642,2022-11-02,53,5,1,3100
643,2022-11-01,36,22,7,21000
644,2022-11-05,36,34,7,256200
645,2022-11-04,80,12,3,34200
646,2022-11-02,52,1,7,21700
647,2022-11-03,81,27,8,46400
648,2022-11-02,16,17,3,7200
649,2022-11-04,38,30,8,156800
650,2022-11-05,2,7,6,18600
651,2022-11-04,16,5,10,31000
652,2022-11-02,51,24,4,18400
653,2022-11-02,27,6,5,15500
654,2022-11-05,3,32,1,22200
655,2022-11-04,99,11,4,46400
656,2022-11-01,84,9,2,22200
657,2022-11-04,10,11,5,58000
658,2022-11-04,9,26,7,40600
659,2022-11-02,6,31,1,8900
660,2022-11-01,15,27,10,58000
661,2022-11-04,41,16,4,36400
662,2022-11-03,78,15,7,60200
663,2022-11-05,87,2,7,21700
664,2022-11-01,58,2,10,31000
665,2022-11-01,58,27,4,23200
666,2022-11-02,50,1,8,24800
667,2022-11-04,37,7,6,18600
668,2022-11-03,49,2,9,27900
669,2022-11-04,70,25,3,13800
670,2022-11-03,76,11,6,69600
671,2022-11-01,16,23,7,73500
672,2022-11-05,32,14,8,91200
673,2022-11-04,22,13,7,79800
674,2022-11-02,40,9,7,77700
675,2022-11-02,78,11,3,34800
676,2022-11-04,5,32,10,222000
677,2022-11-03,88,1,5,15500
678,2022-11-04,36,30,5,98000
679,2022-11-05,89,14,9,102600
680,2022-11-01,90,34,4,146400
681,2022-11-04,10,25,2,9200
682,2022-11-04,68,2,8,24800
683,2022-11-03,8,14,10,114000
684,2022-11-05,5,34,7,256200
685,2022-11-04,21,31,9,80100
686,2022-11-02,6,32,7,155400
687,2022-11-03,42,34,10,366000
688,2022-11-03,91,32,2,44400
689,2022-11-01,50,34,2,73200
690,2022-11-04,5,29,3,8400
691,2022-11-02,43,15,9,77400
692,2022-11-01,80,1,8,24800
693,2022-11-01,19,31,8,71200
694,2022-11-04,70,6,5,15500
695,2022-11-03,3,24,4,18400
696,2022-11-02,23,16,4,36400
697,2022-11-04,34,19,8,242400
698,2022-11-01,73,1,8,24800
699,2022-11-03,57,15,2,17200
700,2022-11-01,75,19,3,90900
701,2022-11-02,48,28,7,40600
702,2022-11-02,81,32,9,199800
703,2022-11-03,97,35,1,18500
704,2022-11-01,82,18,7,60900
705,2022-11-01,55,20,10,195000
706,2022-11-04,51,7,4,12400
707,2022-11-02,33,24,1,4600
708,2022-11-02,27,7,6,18600
709,2022-11-02,21,28,6,34800
710,2022-11-05,99,13,1,11400
711,2022-11-03,3,3,3,9300
712,2022-11-03,100,34,8,292800
713,2022-11-03,78,13,5,57000
714,2022-11-05,59,3,5,15500
715,2022-11-05,19,35,5,92500
716,2022-11-04,84,11,3,34800
717,2022-11-02,80,32,3,66600
718,2022-11-03,29,9,4,44400
719,2022-11-03,37,35,7,129500
720,2022-11-01,61,8,8,24800
721,2022-11-01,23,10,1,11500
722,2022-11-01,3,28,10,58000
723,2022-11-05,11,9,2,22200
724,2022-11-01,91,24,3,13800
725,2022-11-02,60,22,2,6000
726,2022-11-01,74,5,5,15500
727,2022-11-05,97,33,2,59000
728,2022-11-04,98,22,9,27000
729,2022-11-03,35,30,7,137200
730,2022-11-04,10,16,5,45500
731,2022-11-03,1,15,8,68800
732,2022-11-01,40,24,5,23000
733,2022-11-02,44,12,4,45600
734,2022-11-04,93,1,6,18600
735,2022-11-01,47,19,10,303000
736,2022-11-02,74,14,2,22800
737,2022-11-02,72,1,4,12400
738,2022-11-01,24,5,7,21700
739,2022-11-03,91,33,1,29500
740,2022-11-05,3,15,8,68800
741,2022-11-05,32,27,2,11600
742,2022-11-03,83,17,1,2400
743,2022-11-05,78,3,3,9300
744,2022-11-05,64,23,8,84000
745,2022-11-03,41,26,6,34800
746,2022-11-01,29,2,8,24800
747,2022-11-03,26,7,1,3100
748,2022-11-05,38,27,7,40600
749,2022-11-02,9,19,2,60600
750,2022-11-05,49,27,5,29000
751,2022-11-04,62,33,10,295000
752,2022-11-04,11,27,2,11600
753,2022-11-03,29,29,10,28000
754,2022-11-03,100,3,4,12400
755,2022-11-01,69,33,8,236000
756,2022-11-04,2,10,3,34500
757,2022-11-03,24,33,9,265500
758,2022-11-05,53,2,4,12400
759,2022-11-04,10,16,8,72800
760,2022-11-02,33,32,1,22200
761,2022-11-05,91,2,5,15500
762,2022-11-01,38,13,7,79800
763,2022-11-05,12,21,1,3000
764,2022-11-03,24,33,10,295000
765,2022-11-01,93,5,6,18600
766,2022-11-01,96,23,5,52500
767,2022-11-03,93,22,7,21000
768,2022-11-01,35,1,8,24800
769,2022-11-05,6,13,5,57000
770,2022-11-01,65,27,10,58000
771,2022-11-04,25,30,10,196000
772,2022-11-02,29,14,10,114000
773,2022-11-04,51,6,3,9300
774,2022-11-03,83,4,1,3100
775,2022-11-03,12,5,3,9300
